=== Mesh Information ===
Number of tetrahedra: 148000
Number of vertices: 29322
Number of boundary elements: 32146
m1 = -4, m2 = -2, m3 = 4, d = 2.16
# a = 25 um
# sigma0 = 2.25873
# n = 5e+11 1/cm^2, mu = 7.47912 m^2/Vs
# epsilon = (1,0), kcr1 = -0.0311846 1/T
# d = 2.16, kcr = -0, k = 0.001
Time_from_Epoch = 1769780238
time_(s)	Frequency_(GHz)	k	|t_xx|^2	arg(t_xx)	|r_xx|^2	arg(r_xx)	|t_xy|^2	arg(t_xy)	|r_xy|^2	arg(r_xy)	|t_yy|^2	arg(t_yy)	|r_yy|^2	arg(r_yy)	|t_yx|^2	arg(t_yx)	|r_yx|^2	arg(r_yx)	
59.117	1.90854	0.001	0.998297	4.88868e-05	7.2755e-07	3.09225	2.29333e-18	1.56733	2.28427e-18	1.57284	1	4.31315e-05	1.86033e-09	1.57136	2.28718e-18	1.58167	2.14041e-18	1.57313
84.151	2.86281	0.0015	0.998297	7.33321e-05	7.29726e-07	3.06765	4.86855e-18	1.56545	4.85687e-18	1.57377	1	6.47073e-05	4.18704e-09	1.57164	4.86603e-18	1.58755	4.54823e-18	1.57418
109.996	3.81708	0.002	0.998297	9.77796e-05	7.32772e-07	3.04313	8.42348e-18	1.56358	8.41763e-18	1.57474	1	8.6295e-05	7.44684e-09	1.57192	8.48222e-18	1.59333	7.92891e-18	1.57524
134.707	4.77135	0.0025	0.998297	0.00012223	7.3669e-07	3.01872	1.31603e-17	1.56174	1.31445e-17	1.57564	1	0.000107899	1.16421e-08	1.57221	1.31675e-17	1.59908	1.23114e-17	1.57633
157.695	5.72561	0.003	0.998297	0.000146685	7.4148e-07	2.99445	1.89016e-17	1.55994	1.88842e-17	1.5766	1	0.000129522	1.67761e-08	1.57249	1.89601e-17	1.60475	1.7718e-17	1.57741
180.577	6.67988	0.0035	0.998297	0.000171144	7.47143e-07	2.97035	2.57767e-17	1.55817	2.57675e-17	1.57757	0.999999	0.00015117	2.28524e-08	1.57277	2.58556e-17	1.6104	2.41687e-17	1.57849
203.45	7.63415	0.004	0.998297	0.000195608	7.53679e-07	2.94643	3.38572e-17	1.5564	3.38513e-17	1.5785	0.999999	0.000172846	2.98757e-08	1.57306	3.39974e-17	1.61593	3.17822e-17	1.57955
226.525	8.58842	0.0045	0.998297	0.000220079	7.61089e-07	2.92273	4.31064e-17	1.55468	4.30913e-17	1.57945	0.999999	0.000194553	3.78512e-08	1.57334	4.32961e-17	1.62147	4.04582e-17	1.58063
249.355	9.54269	0.005	0.998297	0.000244556	7.69375e-07	2.89925	5.36381e-17	1.55298	5.3633e-17	1.58039	0.999999	0.000216297	4.67848e-08	1.57362	5.38967e-17	1.62692	5.03553e-17	1.5817
272.236	10.497	0.0055	0.998297	0.000269041	7.78538e-07	2.87604	6.55264e-17	1.5513	6.55079e-17	1.58131	0.999999	0.000238082	5.66832e-08	1.57391	6.58046e-17	1.63233	6.14756e-17	1.58277
